Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,4.090000,4.180000,4.070000,4.120000,4.094817,6273300
2017-08-21,4.130000,4.170000,4.040000,4.070000,4.045123,3564300
2017-08-22,4.080000,4.170000,4.070000,4.090000,4.065000,4745300
2017-08-23,4.050000,4.100000,3.950000,3.960000,3.960000,7935400
2017-08-24,4.000000,4.090000,4.000000,4.040000,4.040000,5782600
2017-08-25,4.040000,4.160000,3.990000,4.140000,4.140000,4178300
2017-08-28,4.140000,4.270000,4.090000,4.220000,4.220000,4747100
2017-08-29,4.150000,4.190000,4.020000,4.180000,4.180000,4417200
2017-08-30,4.170000,4.270000,4.160000,4.170000,4.170000,3561300
2017-08-31,4.190000,4.300000,4.130000,4.290000,4.290000,11958600
2017-09-01,4.260000,4.310000,4.160000,4.300000,4.300000,3673000
2017-09-05,4.290000,4.410000,4.200000,4.260000,4.260000,4139700
2017-09-06,4.300000,4.360000,4.290000,4.330000,4.330000,2756700
2017-09-07,4.340000,4.380000,4.270000,4.310000,4.310000,3398900
2017-09-08,4.310000,4.340000,4.270000,4.330000,4.330000,2811200
2017-09-11,4.350000,4.420000,4.350000,4.370000,4.370000,3218100
2017-09-12,4.410000,4.540000,4.400000,4.510000,4.510000,3629300
2017-09-13,4.520000,4.620000,4.500000,4.590000,4.590000,5828700
2017-09-14,4.600000,4.610000,4.490000,4.520000,4.520000,2834000
2017-09-15,4.540000,4.560000,4.460000,4.480000,4.480000,6247100
2017-09-18,4.510000,4.530000,4.470000,4.480000,4.480000,1014589
